"current_ap","ap_key_test.keys","current_hp","block","intact","key_resp_2.keys","key_resp_2.corr","key_resp_2.rt","participant","nam_unn","rs_rt_n"
"mile",2,"UnnBuff2/abstractbuff01a.jpg",1,"left","left",1,1.61596709999139,208,"unn","RT"
"avenue",3,"UnnBuff2/abstractbuff02b.jpg",1,"right","right",1,0.593174600013299,208,"unn","RS"
"storage",2,"namBuff2/inanibuff03b.jpg",1,"left","right",0,1.08815850000246,208,"nam","RS"
"drug",2,"namBuff2/inanibuff01a.jpg",1,"right","right",1,1.24795960000483,208,"nam","RT"
"voter",2,"namBuff2/inanibuff03c.jpg",1,"left","left",1,0.658637399988947,208,"nam","RS"
"frown",2,"UnnBuff2/abstractbuff01.jpg",1,"left","right",0,0.729545200010762,208,"unn","RT"
"wind",2,"namBuff2/inanibuff01c.jpg",1,"left","left",1,3.25725230001262,208,"nam","RS"
"trench",2,"namBuff2/inanibuff01b.jpg",1,"left","left",1,0.648562999995193,208,"nam","RS"
"writer",2,"namBuff2/inanibuff03a.jpg",1,"right","right",1,0.744334000017261,208,"nam","RT"
"ledge",2,"namBuff2/inanibuff01.jpg",1,"right","right",1,0.824634399992647,208,"nam","RT"
"product",2,"UnnBuff2/abstractbuff02.jpg",1,"left","right",0,1.54521829998703,208,"unn","RT"
"sports",2,"UnnBuff2/abstractbuff01c.jpg",1,"right","right",1,0.639919299981557,208,"unn","RS"
"waltz",2,"namBuff2/inanibuff03.jpg",1,"right","left",0,0.83343459997559,208,"nam","RT"
"shelter",2,"UnnBuff2/abstractbuff01b.jpg",1,"right","right",1,1.07194220001111,208,"unn","RS"
"jury",2,"UnnBuff2/abstractbuff02c.jpg",1,"right","right",1,0.712477299995953,208,"unn","RS"
"inch",2,"UnnBuff2/abstractbuff02a.jpg",1,"left","right",0,1.76807280001231,208,"unn","RT"
"clan",3,"Nam2/inanimate08a.jpg",2,"left","left",1,1.02460649999557,208,"nam","RT"
"vitamin",3,"Unn2/abstract07a.jpg",2,"left","left",1,1.49674669999513,208,"unn","RT"
"movie",3,"Unn2/abstract06a.jpg",2,"right","right",1,1.16044830001192,208,"unn","RT"
"agent",3,"Unn2/abstract06b.jpg",2,"left","right",0,2.60819550001179,208,"unn","RS"
"perfume",3,"Unn2/abstract07b.jpg",2,"right","right",1,0.927832099987427,208,"unn","RS"
"breeze",2,"Nam2/inanimate08.jpg",2,"left","left",1,0.679754499986302,208,"nam","RT"
