"participant","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
319,1,1,1,"Nam2/inanimate10b_ap.jpg","Nam2/inanimate10c_hp.jpg","left","nam","RT","left",1
319,1,1,2,"Nam2/inanimate10_ap.jpg","Nam2/inanimate10_hp.jpg","right","nam","RS","right",1
319,1,1,3,"cc/abstract09b_ap.jpg","cc/abstract09b_hp.jpg","right","unn","RT","right",1
319,1,1,4,"cc/abstract09_ap.jpg","cc/abstract09a_hp.jpg","left","unn","RS","left",1
319,1,1,5,"Nam2/inanimate10a_ap.jpg","Nam2/inanimate10a_hp.jpg","right","nam","RS","right",1
319,1,1,6,"cc/abstract09a_ap.jpg","cc/abstract09_hp.jpg","left","unn","RS","left",1
319,1,1,7,"Nam2/inanimate10e_ap.jpg","Nam2/inanimate10e_hp.jpg","right","nam","N","right",1
319,1,1,8,"cc/abstract09e_ap.jpg","cc/abstract09d_hp.jpg","left","unn","N","right",0
319,1,1,9,"cc/abstract09d_ap.jpg","cc/abstract09e_hp.jpg","left","unn","N","left",1
319,1,1,10,"cc/abstract09c_ap.jpg","cc/abstract09c_hp.jpg","right","unn","RT","right",1
319,1,1,11,"Nam2/inanimate10c_ap.jpg","Nam2/inanimate10b_hp.jpg","left","nam","RT","left",1
319,1,1,12,"Nam2/inanimate10d_ap.jpg","Nam2/inanimate10d_hp.jpg","right","nam","N","right",1
319,1,1,13,"cc/abstract09d_ap.jpg","cc/abstract09d_hp.jpg","right","unn","N","right",1
319,1,1,14,"Nam2/inanimate10e_ap.jpg","Nam2/inanimate10d_hp.jpg","left","nam","N","left",1
319,1,1,15,"cc/abstract09e_ap.jpg","cc/abstract09e_hp.jpg","right","unn","N","right",1
319,1,1,16,"cc/abstract09b_ap.jpg","cc/abstract09c_hp.jpg","left","unn","RT","left",1
319,1,1,17,"cc/abstract09a_ap.jpg","cc/abstract09a_hp.jpg","right","unn","RS","right",1
319,1,1,18,"Nam2/inanimate10d_ap.jpg","Nam2/inanimate10e_hp.jpg","left","nam","N","left",1
319,1,1,19,"Nam2/inanimate10_ap.jpg","Nam2/inanimate10a_hp.jpg","left","nam","RS","left",1
319,1,1,20,"Nam2/inanimate10a_ap.jpg","Nam2/inanimate10_hp.jpg","left","nam","RS","left",1
319,1,1,21,"Nam2/inanimate10c_ap.jpg","Nam2/inanimate10c_hp.jpg","right","nam","RT","right",1
319,1,1,22,"cc/abstract09c_ap.jpg","cc/abstract09b_hp.jpg","left","unn","RT","left",1
319,1,1,23,"Nam2/inanimate10b_ap.jpg","Nam2/inanimate10b_hp.jpg","right","nam","RT","right",1
319,1,1,24,"cc/abstract09_ap.jpg","cc/abstract09_hp.jpg","right","unn","RS","right",1
319,2,2,1,"Nam2/inanimate06b_ap.jpg","Nam2/inanimate06c_hp.jpg","left","nam","RT","right",0
319,2,2,2,"Nam2/inanimate06_ap.jpg","Nam2/inanimate06_hp.jpg","right","nam","RS","left",0
319,2,2,3,"cc/abstract05b_ap.jpg","cc/abstract05b_hp.jpg","right","unn","RT","right",1
319,2,2,4,"cc/abstract05_ap.jpg","cc/abstract05a_hp.jpg","left","unn","RS","left",1
319,2,2,5,"Nam2/inanimate06a_ap.jpg","Nam2/inanimate06a_hp.jpg","right","nam","RS","right",1
319,2,2,6,"cc/abstract05a_ap.jpg","cc/abstract05_hp.jpg","left","unn","RS","left",1
319,2,2,7,"Nam2/inanimate06e_ap.jpg","Nam2/inanimate06e_hp.jpg","right","nam","N","right",1
319,2,2,8,"cc/abstract05e_ap.jpg","cc/abstract05d_hp.jpg","left","unn","N","left",1
319,2,2,9,"cc/abstract05d_ap.jpg","cc/abstract05e_hp.jpg","left","unn","N","right",0
319,2,2,10,"cc/abstract05c_ap.jpg","cc/abstract05c_hp.jpg","right","unn","RT","right",1
319,2,2,11,"Nam2/inanimate06c_ap.jpg","Nam2/inanimate06b_hp.jpg","left","nam","RT","left",1
319,2,2,12,"Nam2/inanimate06d_ap.jpg","Nam2/inanimate06d_hp.jpg","right","nam","N","right",1
319,2,2,13,"Nam2/inanimate06b_ap.jpg","Nam2/inanimate06b_hp.jpg","right","nam","RT","right",1
319,2,2,14,"Nam2/inanimate06_ap.jpg","Nam2/inanimate06a_hp.jpg","left","nam","RS","left",1
319,2,2,15,"cc/abstract05b_ap.jpg","cc/abstract05c_hp.jpg","left","unn","RT","right",0
319,2,2,16,"cc/abstract05_ap.jpg","cc/abstract05_hp.jpg","right","unn","RS","right",1
