"current_ap","current_hp","block","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr","participant"
"unn2/abstract07d_ap3.jpg","unn2/abstract07e_hp3.jpg",1,"left","unn","RT","left",1,545
"Nam2/inanimate03_ap3.jpg","Nam2/inanimate03_hp3.jpg",1,"right","nam","N","right",1,545
"unn2/abstract07e_ap3.jpg","unn2/abstract07d_hp3.jpg",1,"left","unn","RT","right",0,545
"unn2/abstract07a_ap3.jpg","unn2/abstract07_hp3.jpg",1,"left","unn","N","left",1,545
"unn2/abstract07c_ap3.jpg","unn2/abstract07c_hp3.jpg",1,"right","unn","RS","right",1,545
"unn2/abstract07b_ap3.jpg","unn2/abstract07b_hp3.jpg",1,"right","unn","RS","right",1,545
"Nam2/inanimate03b_ap3.jpg","Nam2/inanimate03c_hp3.jpg",1,"left","nam","RS","left",1,545
"Nam2/inanimate03d_ap3.jpg","Nam2/inanimate03d_hp3.jpg",1,"right","nam","RT","right",1,545
"Nam2/inanimate03e_ap3.jpg","Nam2/inanimate03e_hp3.jpg",1,"right","nam","RT","right",1,545
"unn2/abstract07_ap3.jpg","unn2/abstract07a_hp3.jpg",1,"left","unn","N","right",0,545
"Nam2/inanimate03a_ap3.jpg","Nam2/inanimate03a_hp3.jpg",1,"right","nam","N","left",0,545
"unn2/abstract07d_ap3.jpg","unn2/abstract07d_hp3.jpg",1,"right","unn","RT","right",1,545
"Nam2/inanimate03e_ap3.jpg","Nam2/inanimate03d_hp3.jpg",1,"left","nam","RT","left",1,545
"unn2/abstract07e_ap3.jpg","unn2/abstract07e_hp3.jpg",1,"right","unn","RT","right",1,545
"unn2/abstract07b_ap3.jpg","unn2/abstract07c_hp3.jpg",1,"left","unn","RS","right",0,545
"unn2/abstract07a_ap3.jpg","unn2/abstract07a_hp3.jpg",1,"right","unn","N","right",1,545
"Nam2/inanimate03d_ap3.jpg","Nam2/inanimate03e_hp3.jpg",1,"left","nam","RT","left",1,545
"Nam2/inanimate03_ap3.jpg","Nam2/inanimate03a_hp3.jpg",1,"left","nam","N","left",1,545
"Nam2/inanimate03a_ap3.jpg","Nam2/inanimate03_hp3.jpg",1,"left","nam","N","left",1,545
"Nam2/inanimate03c_ap3.jpg","Nam2/inanimate03c_hp3.jpg",1,"right","nam","RS","right",1,545
"unn2/abstract07c_ap3.jpg","unn2/abstract07b_hp3.jpg",1,"left","unn","RS","None",0,545
"Nam2/inanimate03b_ap3.jpg","Nam2/inanimate03b_hp3.jpg",1,"right","nam","RS","right",1,545
"unn2/abstract07_ap3.jpg","unn2/abstract07_hp3.jpg",1,"right","unn","N","right",1,545
"unn2/abstract03d_ap3.jpg","unn2/abstract03e_hp3.jpg",2,"left","unn","RT","left",1,545
"Nam2/inanimate06_ap3.jpg","Nam2/inanimate06_hp3.jpg",2,"right","nam","N","right",1,545
"unn2/abstract03e_ap3.jpg","unn2/abstract03d_hp3.jpg",2,"left","unn","RT","left",1,545
"unn2/abstract03a_ap3.jpg","unn2/abstract03_hp3.jpg",2,"left","unn","N","right",0,545
"unn2/abstract03c_ap3.jpg","unn2/abstract03c_hp3.jpg",2,"right","unn","RS","right",1,545
"unn2/abstract03b_ap3.jpg","unn2/abstract03b_hp3.jpg",2,"right","unn","RS","right",1,545
"Nam2/inanimate06b_ap3.jpg","Nam2/inanimate06c_hp3.jpg",2,"left","nam","RS","left",1,545
"Nam2/inanimate06d_ap3.jpg","Nam2/inanimate06d_hp3.jpg",2,"right","nam","RT","right",1,545
"Nam2/inanimate06e_ap3.jpg","Nam2/inanimate06e_hp3.jpg",2,"right","nam","RT","right",1,545
"unn2/abstract03_ap3.jpg","unn2/abstract03a_hp3.jpg",2,"left","unn","N","left",1,545
"Nam2/inanimate06a_ap3.jpg","Nam2/inanimate06a_hp3.jpg",2,"right","nam","N","right",1,545
"Nam2/inanimate06c_ap3.jpg","Nam2/inanimate06c_hp3.jpg",2,"right","nam","RS","left",0,545
"unn2/abstract03d_ap3.jpg","unn2/abstract03d_hp3.jpg",2,"right","unn","RT","None",0,545
"Nam2/inanimate06_ap3.jpg","Nam2/inanimate06a_hp3.jpg",2,"left","nam","N","left",1,545
"unn2/abstract03e_ap3.jpg","unn2/abstract03e_hp3.jpg",2,"right","unn","RT","right",1,545
"unn2/abstract03a_ap3.jpg","unn2/abstract03a_hp3.jpg",2,"right","unn","N","right",1,545
"unn2/abstract03c_ap3.jpg","unn2/abstract03b_hp3.jpg",2,"left","unn","RS","left",1,545
"unn2/abstract03b_ap3.jpg","unn2/abstract03c_hp3.jpg",2,"left","unn","RS","left",1,545
"Nam2/inanimate06b_ap3.jpg","Nam2/inanimate06b_hp3.jpg",2,"right","nam","RS","right",1,545
"Nam2/inanimate06d_ap3.jpg","Nam2/inanimate06e_hp3.jpg",2,"left","nam","RT","left",1,545
"Nam2/inanimate06e_ap3.jpg","Nam2/inanimate06d_hp3.jpg",2,"left","nam","RT","right",0,545
"unn2/abstract03_ap3.jpg","unn2/abstract03_hp3.jpg",2,"right","unn","N","right",1,545
"Nam2/inanimate06a_ap3.jpg","Nam2/inanimate06_hp3.jpg",2,"left","nam","N","left",1,545
"unn2/abstract08d_ap3.jpg","unn2/abstract08e_hp3.jpg",3,"left","unn","RT","left",1,545
"Nam2/inanimate04_ap3.jpg","Nam2/inanimate04_hp3.jpg",3,"right","nam","N","right",1,545
"unn2/abstract08e_ap3.jpg","unn2/abstract08d_hp3.jpg",3,"left","unn","RT","left",1,545
"unn2/abstract08a_ap3.jpg","unn2/abstract08_hp3.jpg",3,"left","unn","N","right",0,545
"unn2/abstract08c_ap3.jpg","unn2/abstract08c_hp3.jpg",3,"right","unn","RS","right",1,545
"unn2/abstract08b_ap3.jpg","unn2/abstract08b_hp3.jpg",3,"right","unn","RS","right",1,545
"Nam2/inanimate04b_ap3.jpg","Nam2/inanimate04c_hp3.jpg",3,"left","nam","RS","left",1,545
"Nam2/inanimate04d_ap3.jpg","Nam2/inanimate04d_hp3.jpg",3,"right","nam","RT","right",1,545
"Nam2/inanimate04e_ap3.jpg","Nam2/inanimate04e_hp3.jpg",3,"right","nam","RT","right",1,545
"unn2/abstract08_ap3.jpg","unn2/abstract08a_hp3.jpg",3,"left","unn","N","left",1,545
"Nam2/inanimate04a_ap3.jpg","Nam2/inanimate04a_hp3.jpg",3,"right","nam","N","right",1,545
"Nam2/inanimate04c_ap3.jpg","Nam2/inanimate04c_hp3.jpg",3,"right","nam","RS","left",0,545
"unn2/abstract08d_ap3.jpg","unn2/abstract08d_hp3.jpg",3,"right","unn","RT","right",1,545
"Nam2/inanimate04_ap3.jpg","Nam2/inanimate04a_hp3.jpg",3,"left","nam","N","left",1,545
"unn2/abstract08e_ap3.jpg","unn2/abstract08e_hp3.jpg",3,"right","unn","RT","right",1,545
