"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",1,1,1,"unn2/abstract01d_ap.jpg","unn2/abstract01e_hp.jpg","left","unn","RS","right",0
865,"A",1,1,2,"unn2/abstract06_ap.jpg","unn2/abstract06_hp.jpg","right","unn","RT","right",1
865,"A",1,1,3,"unn2/abstract09_ap.jpg","unn2/abstract09a_hp.jpg","left","unn","N","right",0
865,"A",1,1,4,"Nam2/inanimate01_ap.jpg","Nam2/inanimate01_hp.jpg","right","nam","RS","right",1
865,"A",1,1,5,"unn2/abstract01e_ap.jpg","unn2/abstract01d_hp.jpg","left","unn","RS","left",1
865,"A",1,1,6,"Nam2/inanimate08a_ap.jpg","Nam2/inanimate08a_hp.jpg","right","nam","N","right",1
865,"A",1,1,7,"unn2/abstract06a_ap.jpg","unn2/abstract06a_hp.jpg","right","unn","RT","right",1
865,"A",1,1,8,"Nam2/inanimate04_ap.jpg","Nam2/inanimate04a_hp.jpg","left","nam","RT","left",1
865,"A",1,1,9,"unn2/abstract09a_ap.jpg","unn2/abstract09_hp.jpg","left","unn","N","left",1
865,"A",1,1,10,"Nam2/inanimate08_ap.jpg","Nam2/inanimate08_hp.jpg","right","nam","N","left",0
865,"A",1,1,11,"Nam2/inanimate01a_ap.jpg","Nam2/inanimate01a_hp.jpg","right","nam","RS","right",1
865,"A",1,1,12,"Nam2/inanimate04a_ap.jpg","Nam2/inanimate04_hp.jpg","left","nam","RT","left",1
865,"A",1,1,13,"unn2/abstract09_ap.jpg","unn2/abstract09_hp.jpg","right","unn","N","right",1
865,"A",1,1,14,"Nam2/inanimate08a_ap.jpg","Nam2/inanimate08_hp.jpg","left","nam","N","left",1
865,"A",1,1,15,"unn2/abstract09a_ap.jpg","unn2/abstract09a_hp.jpg","right","unn","N","left",0
865,"A",1,1,16,"unn2/abstract06_ap.jpg","unn2/abstract06a_hp.jpg","left","unn","RT","left",1
865,"A",1,1,17,"unn2/abstract01e_ap.jpg","unn2/abstract01e_hp.jpg","right","unn","RS","right",1
865,"A",1,1,18,"Nam2/inanimate08_ap.jpg","Nam2/inanimate08a_hp.jpg","left","nam","N","left",1
865,"A",1,1,19,"Nam2/inanimate01_ap.jpg","Nam2/inanimate01a_hp.jpg","left","nam","RS","right",0
865,"A",1,1,20,"Nam2/inanimate01a_ap.jpg","Nam2/inanimate01_hp.jpg","left","nam","RS","left",1
865,"A",1,1,21,"Nam2/inanimate04a_ap.jpg","Nam2/inanimate04a_hp.jpg","right","nam","RT","right",1
865,"A",1,1,22,"unn2/abstract06a_ap.jpg","unn2/abstract06_hp.jpg","left","unn","RT","left",1
865,"A",1,1,23,"Nam2/inanimate04_ap.jpg","Nam2/inanimate04_hp.jpg","right","nam","RT","right",1
865,"A",1,1,24,"unn2/abstract01d_ap.jpg","unn2/abstract01d_hp.jpg","right","unn","RS","right",1
865,"A",2,2,1,"unn2/abstract02d_ap.jpg","unn2/abstract02e_hp.jpg","left","unn","RS","right",0
865,"A",2,2,2,"unn2/abstract06b_ap.jpg","unn2/abstract06b_hp.jpg","right","unn","RT","right",1
865,"A",2,2,3,"unn2/abstract09b_ap.jpg","unn2/abstract09c_hp.jpg","left","unn","N","left",1
865,"A",2,2,4,"Nam2/inanimate02b_ap.jpg","Nam2/inanimate02b_hp.jpg","right","nam","RS","right",1
865,"A",2,2,5,"unn2/abstract02e_ap.jpg","unn2/abstract02d_hp.jpg","left","unn","RS","left",1
865,"A",2,2,6,"Nam2/inanimate09c_ap.jpg","Nam2/inanimate09c_hp.jpg","right","nam","N","right",1
865,"A",2,2,7,"unn2/abstract06c_ap.jpg","unn2/abstract06c_hp.jpg","right","unn","RT","right",1
865,"A",2,2,8,"Nam2/inanimate05b_ap.jpg","Nam2/inanimate05c_hp.jpg","left","nam","RT","left",1
865,"A",2,2,9,"unn2/abstract09c_ap.jpg","unn2/abstract09b_hp.jpg","left","unn","N","left",1
865,"A",2,2,10,"Nam2/inanimate09b_ap.jpg","Nam2/inanimate09b_hp.jpg","right","nam","N","right",1
865,"A",2,2,11,"Nam2/inanimate02c_ap.jpg","Nam2/inanimate02c_hp.jpg","right","nam","RS","right",1
