aperture_image,correct_image,isCorrect,participant,source,rs_rt_n,nam_unn
Nam2/inanimate01a.jpg,Nam2/inanimate01a.jpg,NA,635,set1,N,nam
Nam2/inanimate01e_ap.jpg,Nam2/inanimate01e.jpg,FALSE,635,set1,RT,nam
unn2/abstract01e_ap.jpg,unn2/abstract01e.jpg,TRUE,635,set1,RT,unn
unn2/abstract01c_ap.jpg,unn2/abstract01c.jpg,FALSE,635,set1,RS,unn
unn2/abstract01a_ap.jpg,unn2/abstract01a.jpg,TRUE,635,set1,N,unn
Nam2/inanimate01d_ap.jpg,Nam2/inanimate01d.jpg,FALSE,635,set1,RT,nam
Nam2/inanimate01c_ap.jpg,Nam2/inanimate01c.jpg,FALSE,635,set1,RS,nam
unn2/abstract01d_ap.jpg,unn2/abstract01d.jpg,FALSE,635,set1,RT,unn
Nam2/inanimate01_ap.jpg,Nam2/inanimate01.jpg,FALSE,635,set1,N,nam
Nam2/inanimate01a_ap.jpg,Nam2/inanimate01a.jpg,FALSE,635,set1,N,nam
Nam2/inanimate01b_ap.jpg,Nam2/inanimate01b.jpg,FALSE,635,set1,RS,nam
unn2/abstract01b_ap.jpg,unn2/abstract01b.jpg,TRUE,635,set1,RS,unn
unn2/abstract01_ap.jpg,unn2/abstract01.jpg,TRUE,635,set1,N,unn
Nam2/inanimate02e_ap.jpg,Nam2/inanimate02e.jpg,TRUE,635,set1,RT,nam
unn2/abstract03e_ap.jpg,unn2/abstract03e.jpg,TRUE,635,set1,RT,unn
unn2/abstract03c_ap.jpg,unn2/abstract03c.jpg,FALSE,635,set1,RS,unn
unn2/abstract03a_ap.jpg,unn2/abstract03a.jpg,TRUE,635,set1,N,unn
Nam2/inanimate02d_ap.jpg,Nam2/inanimate02d.jpg,TRUE,635,set1,RT,nam
Nam2/inanimate02c_ap.jpg,Nam2/inanimate02c.jpg,TRUE,635,set1,RS,nam
unn2/abstract03d_ap.jpg,unn2/abstract03d.jpg,TRUE,635,set1,RT,unn
Nam2/inanimate02_ap.jpg,Nam2/inanimate02.jpg,TRUE,635,set1,N,nam
